,score,studio,number_episodes,demographics,emission_type,month,members,action,comedy,ecchi,slice_of_life,sports,drama and romance,adventure and fantasy,mystery and horror,sci_fi and supernatural,Cluster
0,9.1,bones,64.0,shounen,tv,4.0,3149847.0,1,0,0,0,0,1,2,0,0,2
1,9.08,otros_estudios,11.0,seinen,tv,4.0,401094.0,0,0,0,0,0,1,0,0,1,0
2,9.08,mappa,2.0,shounen,special,3.0,408689.0,1,0,0,0,0,1,0,0,0,0
4,9.07,pierrot,13.0,shounen,tv,10.0,427532.0,1,0,0,0,0,0,2,0,0,0
5,9.07,otros_estudios,51.0,shounen,tv,4.0,589281.0,1,1,0,0,0,0,0,0,1,0
6,9.06,a_1_pictures,13.0,seinen,tv,4.0,800663.0,0,1,0,0,0,1,0,0,0,2
7,9.06,otros_estudios,10.0,shounen,tv,4.0,2079136.0,1,0,0,0,0,1,0,0,0,2
8,9.05,otros_estudios,1.0,shounen,movie,1.0,130242.0,1,1,0,0,0,1,0,0,1,0
9,9.04,sunrise,51.0,shounen,tv,4.0,520113.0,1,1,0,0,0,0,0,0,1,0
10,9.04,madhouse,148.0,shounen,tv,10.0,2631460.0,1,0,0,0,0,0,2,0,0,2
11,9.03,sunrise,13.0,shounen,tv,10.0,306629.0,1,1,0,0,0,0,0,0,1,0
13,9.0,tms_entertainment,13.0,shoujo,tv,4.0,423256.0,0,0,0,0,0,2,0,0,1,0
14,8.99,otros_estudios,12.0,shounen,tv,1.0,295153.0,1,1,0,0,0,0,0,0,1,0
15,8.94,shaft,22.0,seinen,tv,10.0,380739.0,0,0,0,0,0,1,0,0,0,0
16,8.94,sunrise,201.0,shounen,tv,4.0,1016198.0,1,1,0,0,0,0,0,0,1,2
17,8.94,otros_estudios,1.0,shounen,movie,9.0,2172569.0,0,0,0,0,0,1,0,0,0,2
19,8.92,sunrise,1.0,shounen,movie,7.0,227528.0,1,1,0,0,0,0,0,0,1,0
21,8.91,a_1_pictures,1.0,seinen,movie,12.0,161546.0,0,1,0,0,0,2,0,0,0,0
25,8.88,otros_estudios,14.0,shounen,tv,7.0,183681.0,1,1,0,0,0,0,0,0,1,0
26,8.86,madhouse,74.0,seinen,tv,4.0,994900.0,0,0,0,0,0,1,0,1,0,2
28,8.81,otros_estudios,12.0,shounen,tv,1.0,198110.0,1,1,0,0,0,0,0,0,1,0
29,8.81,pierrot,26.0,seinen,tv,4.0,89441.0,1,0,0,0,0,0,0,0,0,0
30,8.8,otros_estudios,11.0,shounen,tv,12.0,1209270.0,1,0,0,0,0,0,1,0,0,2
32,8.8,mappa,16.0,shounen,tv,12.0,1824861.0,1,0,0,0,0,1,0,0,0,2
35,8.78,production_i_g,10.0,shounen,tv,10.0,1131954.0,0,0,0,0,1,0,0,0,0,2
37,8.77,mappa,12.0,shounen,tv,1.0,1111638.0,1,0,0,0,0,1,0,0,0,2
38,8.76,madhouse,75.0,shounen,tv,10.0,539698.0,0,0,0,0,1,0,0,0,0,0
40,8.75,pierrot,26.0,seinen,tv,4.0,52089.0,1,0,0,0,0,0,0,0,0,0
42,8.74,otros_estudios,24.0,seinen,tv,7.0,1329378.0,1,0,0,0,0,1,1,0,0,2
44,8.73,otros_estudios,10.0,seinen,tv,10.0,252829.0,0,0,0,1,0,0,1,1,1,0
45,8.73,studio_deen,12.0,josei,tv,1.0,179543.0,0,0,0,0,0,1,0,0,0,0
46,8.72,tokyo_movie_shinsha,47.0,shounen,tv,10.0,47154.0,0,0,0,0,1,1,0,0,0,0
48,8.71,studio_deen,4.0,shounen,ova,2.0,267481.0,1,0,0,0,0,2,0,0,0,0
49,8.7,otros_estudios,10.0,seinen,tv,4.0,286444.0,0,0,0,1,0,0,1,1,1,0
52,8.69,pierrot,43.0,shounen,tv,6.0,782245.0,0,1,0,0,0,0,0,0,0,2
