,score
11385,5.29
6866,6.41
1323,7.62
2252,7.36
11277,5.34
2420,7.32
3898,7.02
4367,6.91
2996,7.21
247,8.29
7681,6.26
12235,4.71
12529,3.82
10070,5.72
4429,6.89
8888,6.01
10517,5.6
850,7.84
10199,5.68
8489,6.09
1078,7.72
4205,6.95
8139,6.16
10743,5.53
11343,5.31
3578,7.1
2684,7.27
7495,6.29
5873,6.6
4653,6.85
11984,4.95
9606,5.84
11370,5.3
11557,5.21
8935,6.0
2320,7.34
1595,7.54
4176,6.96
11729,5.12
7413,6.31
8191,6.15
8798,6.03
8986,5.99
4464,6.88
6282,6.52
2576,7.29
11933,4.99
8994,5.99
8366,6.11
7834,6.23
4375,6.91
10673,5.55
3529,7.1
2189,7.37
7420,6.31
5062,6.76
5871,6.6
4439,6.89
5195,6.73
3522,7.11
4149,6.96
6885,6.41
10842,5.49
8730,6.04
10994,5.44
6301,6.52
11024,5.43
9210,5.94
1453,7.58
429,8.13
9740,5.8
6768,6.43
2673,7.27
6064,6.56
7794,6.23
5931,6.59
9849,5.78
6429,6.5
3120,7.19
5336,6.71
2848,7.24
744,7.89
3079,7.19
2145,7.38
4759,6.82
11090,5.4
8209,6.15
8692,6.05
5500,6.67
3694,7.07
2861,7.23
6188,6.54
3128,7.18
2057,7.41
2754,7.26
5833,6.61
3187,7.17
10111,5.71
7990,6.2
7444,6.3
1983,7.42
2840,7.24
5646,6.64
3006,7.21
5743,6.62
1328,7.62
218,8.33
12298,4.64
4879,6.79
9040,5.97
8008,6.19
1897,7.44
3910,7.02
4170,6.96
1807,7.47
11958,4.97
5148,6.74
5848,6.6
3082,7.19
7828,6.23
9350,5.9
5993,6.57
10935,5.46
2390,7.33
1643,7.52
9688,5.82
7376,6.31
10190,5.69
4721,6.83
6119,6.55
967,7.77
8140,6.16
11388,5.29
5533,6.66
5828,6.61
8009,6.19
6050,6.56
2301,7.35
9603,5.84
586,8.0
2316,7.34
8817,6.03
10941,5.46
6906,6.41
11004,5.44
3745,7.06
1107,7.71
2968,7.21
6134,6.55
1237,7.66
6660,6.45
7933,6.21
4365,6.91
9559,5.85
3646,7.08
7925,6.21
5479,6.67
8981,5.99
4092,6.98
6466,6.49
8926,6.0
11785,5.09
11999,4.93
2913,7.22
8630,6.07
11848,5.06
10725,5.53
1864,7.45
1739,7.49
5339,6.71
3844,7.03
10066,5.72
1166,7.69
6848,6.42
1732,7.49
10897,5.48
2357,7.34
6346,6.51
3833,7.04
9938,5.75
11206,5.36
7606,6.27
8735,6.04
6832,6.42
5117,6.74
5459,6.68
3353,7.14
5950,6.58
811,7.85
50,8.7
10962,5.45
2596,7.29
9016,5.98
5155,6.74
3441,7.12
7573,6.28
1277,7.64
5020,6.76
8978,5.99
10542,5.59
11384,5.29
3790,7.05
1085,7.72
3210,7.17
828,7.85
9003,5.98
5098,6.75
2948,7.22
4814,6.81
4281,6.93
9147,5.95
5250,6.72
3671,7.07
8721,6.04
5826,6.61
7985,6.2
9486,5.87
2858,7.23
12429,4.39
10864,5.49
2372,7.33
10618,5.56
3118,7.19
763,7.88
9885,5.77
10656,5.55
385,8.16
2319,7.34
3126,7.18
9234,5.93
6491,6.49
379,8.17
2910,7.23
11856,5.05
1372,7.61
9387,5.9
8462,6.1
7078,6.37
5922,6.59
5639,6.64
3323,7.15
2450,7.32
5526,6.67
741,7.89
6814,6.42
884,7.82
9255,5.93
7109,6.37
4819,6.81
11288,5.33
2325,7.34
8625,6.07
1282,7.64
11572,5.2
8862,6.02
9089,5.97
6856,6.42
7268,6.34
9757,5.8
3060,7.2
7324,6.33
1617,7.53
5577,6.65
9796,5.79
7301,6.33
149,8.45
1369,7.61
2174,7.38
1208,7.67
1498,7.56
2366,7.33
8947,6.0
10936,5.46
12369,4.52
200,8.36
6605,6.46
8949,6.0
251,8.29
1730,7.49
290,8.25
2417,7.32
11598,5.19
3755,7.05
11201,5.36
3562,7.1
6876,6.41
4743,6.83
3132,7.18
9593,5.84
7637,6.27
4105,6.97
9995,5.74
9840,5.78
10509,5.6
9538,5.86
4048,6.99
6322,6.52
5972,6.58
2788,7.25
9980,5.74
1935,7.44
7228,6.35
8295,6.13
11169,5.37
10201,5.68
11466,5.25
10410,5.62
2021,7.42
653,7.95
1626,7.53
5261,6.72
6955,6.4
3448,7.12
839,7.84
6037,6.57
4110,6.97
4720,6.83
4217,6.94
7785,6.24
396,8.16
11100,5.4
2980,7.21
8869,6.01
5384,6.7
1121,7.71
2664,7.27
12075,4.87
7116,6.37
2901,7.23
12484,4.19
6000,6.57
8063,6.18
5657,6.64
6522,6.48
10709,5.54
2589,7.29
8457,6.1
5396,6.69
5899,6.59
5511,6.67
4313,6.92
357,8.19
6769,6.43
8699,6.05
1402,7.59
9838,5.78
2392,7.33
135,8.48
8728,6.04
2559,7.29
1989,7.42
47,8.71
83,8.6
3208,7.17
7007,6.39
772,7.88
9975,5.74
10122,5.7
4269,6.93
8031,6.19
8327,6.12
8466,6.1
4842,6.8
360,8.19
6850,6.42
8,9.05
5579,6.65
3011,7.2
12049,4.89
2882,7.23
12050,4.89
9048,5.97
311,8.23
927,7.8
10387,5.63
3254,7.16
10220,5.68
2954,7.22
9052,5.97
7172,6.36
624,7.97
5181,6.73
10127,5.7
2919,7.22
2236,7.36
10735,5.53
9718,5.81
1562,7.55
12120,4.83
2184,7.37
12338,4.59
4490,6.88
3366,7.14
5230,6.72
6670,6.45
5587,6.65
7337,6.32
6417,6.5
8398,6.11
113,8.53
3944,7.01
4442,6.89
4004,7.0
5908,6.59
9868,5.77
7664,6.26
8824,6.03
1197,7.67
9497,5.87
8085,6.17
11485,5.24
2271,7.35
2109,7.39
10694,5.54
4303,6.93
9426,5.89
9934,5.75
3469,7.12
6557,6.47
8231,6.14
3386,7.13
8745,6.04
747,7.89
11876,5.04
6201,6.54
12556,3.51
6485,6.49
2439,7.32
3146,7.18
518,8.06
1413,7.59
5023,6.76
9174,5.95
3000,7.21
4219,6.94
4401,6.9
1213,7.67
10639,5.56
10036,5.73
2391,7.33
3703,7.06
8683,6.05
11786,5.09
7290,6.33
8520,6.09
1157,7.69
8336,6.12
99,8.55
10577,5.57
11173,5.37
4898,6.79
11219,5.36
9779,5.79
11895,5.02
2608,7.28
11228,5.35
3785,7.05
304,8.24
1010,7.75
5322,6.71
3781,7.05
8153,6.16
8654,6.06
8507,6.09
102,8.54
10654,5.55
1006,7.76
7202,6.35
2519,7.3
12439,4.38
4989,6.77
3526,7.1
8579,6.08
434,8.12
2442,7.32
538,8.03
11445,5.26
4328,6.92
2677,7.27
4716,6.83
3886,7.03
7074,6.37
9468,5.88
8731,6.04
293,8.25
1570,7.55
6384,6.51
103,8.54
5527,6.67
4463,6.88
9607,5.84
9997,5.74
979,7.77
1483,7.57
1217,7.67
450,8.11
8668,6.06
8141,6.16
7474,6.3
1053,7.73
